07359F2/162.17,⿺辶⿵門𦍒
04415F1/90.4,⿰丬夫
06023F2/130.12,⿰月㪚
06000F2/130.9,⿰月⿸广帇
06016F2/130.11,⿰月逄
07393F2/163.10,⿰臬邑
04406F2/156.15,⿺走廣
00507F1/12.7,⿰公且
03110F1/70.8,⿰方屈
08156F2/188.7,⿰骨㫖
01606F1/32.16,⿱𣿕土
00788F1/20.4,⿹勹井
02459F1/60.8,⿰彳⿱日反
07285F2/162.8,⿺辶⿱日反
03219F1/72.4,⿱日反
00629F1/16.11,⿰⿸虍几
02273F1/53.3,⿰丶⿸广⿰丶丶
02998F1/65.2,⿺⑤丿
03511F1/75.8,⿰木枝
03169F1/72.6,⿱⿴口⺌日
01626F1/35.2,⿰乡又
01426F1/31.9,⿴囗咸
01412F1/31.5,⿴囗去
00887F1/27.12,⿸厂𢽵
04621F2/96.12,⿱玨空
03880F1/82.10,⿱⿰牙攴⿸厂毛
01498F1/32.8,⿰土𪠆
03543F1/75.8,⿰木⿱内比
02732F1/61.22,⿰忄鷒
08351F2/196.12,⿰勞鳥
04671F2/98.6,⿺瓦虫
06572F2/142.8,⿰虫⿺辶
01175F1/30.12,⿰口⿳艹一坐
06157F2/140.6,⿱艹𠇊
08182F2/190.4,⿱髟斗
05585F2/118.16,⿱竹⿰禾㽞
07964F2/181.4,⿰⿱上𠃊頁
05660F2/119.11,⿱米⿱廿⑥
03526F1/75.8,⿱制木
07975F2/181.6,⿰⿱亡土頁
06303F2/140.11,⿱艹
03007F1/65.13,⿰⿳十罒⑥支
02351F1/24.5,⿰⿵升⿰丶丶丶
00981F1/30.7,⿰口芋
05669F2/119.15,⿰米⿱品𠇍
02885F1/64.9,⿰扌𡱝
01770F1/38.10,⿰女羙
02368F1/56.10,⿰⿱与小式
02744F1/62.10,⿰⿱与小⿵戊人
04848F2/104.15,⿸疒⿱猒土
01871F1/40.7,⿱宀角
00443F1/10.5,⿺元夕
04661F2/97.5,⿺瓜犮
07208F2/159.11,⿰車處
02846F1/64.8,⿰扌罔
04829F2/104.11,⿸疒⿹㇉
05561F2/118.14,⿳𥬥大言
05512F2/118.10,⿱竹宦
05945F2/128.9,⿰耳枼
07779F2/170.12,⿰阝善
07863F2/173.11,⿱敝雨
01456F1/32.5,⿱⿱一厸土
00659F1/18.5,⿰𪠲刂
01609F1/32.17,⿱豁土
02874F1/64.9,⿰扌昴
06807F2/148.7,⿹戈角
02902F1/64.10,⿰扌乘
04616F2/96.11,⿰王處
00359F1/9.11,⿰亻⿱覀令
06835F2/149.6,⿱⿰工凡言
03766F1/77.17,⿰責
01576F1/32.12,⿰土⿱田
04783F2/103.5,⿰𤴔皮
04880F2/106.5,⿰百升
07994F2/181.11,⿰⿱止豆頁
07817F2/172.10,⿰⿱一⿱吅隹亐
07376F2/163.5,⿰玄阝
06649F2/143.5,⿰血瓜
08496F2/211.12,⿰齒𦓔
06787F2/147.13,⿰亶見
00361F1/9.11,⿰亻國
05304F2/115.7,⿰禾𠬶
07406F2/163.14,⿱⿲木幺木⿱大邑
06283F2/140.10,⿳艹⿷亡口月
06643F2/142.20,⿰虫⿱⿱冖黽
04698F2/99.10,⿱般甘
03561F1/75.9,⿱昭木
06832F2/149.5,⿱弘言
01731F1/38.5,⿱𠀐女
06386F2/140.14,⿱艸⿱一⿱从⿱𠀎𧘇
08390F2/198.9,⿸鹿美
04633F2/96.13,⿰王電
03521F1/75.9,⿰木苐
05130F2/112.8,⿱非石
01726F1/38.3,⿱巳女
02313F1/53.11,⿸广⿱比言
02068F1/46.6,⿱山⿰支力
02188F1/48.1,⿹⺄工
02237F1/50.10,⿰巾尃
02006F1/44.7,⿸尸𫹏
03533F1/75.8,⿱亡枼
01176F1/30.12,⿰口菴
04917F2/107.7,⿰皮夋
03245F1/72.9,⿰旨甫
04057F1/85.11,⿰氵⿰⿱山歹攵
02942F1/64.13,⿲扌歹盾
06958F2/154.4,⿱少貝
07333F2/162.12,⿺辶㫿
01266F1/30.14,⿰口漠
05247F2/113.11,⿰示盖
05283F2/115.4,⿰禾升
01201F1/30.11,⿰口⿱敄力
04843F2/104.14,⿸疒舞
01121F1/30.10,⿰口⿰扌⿱日工
05976F2/130.6,⿰月
01068F1/30.9,⿰口怒
02920F1/64.11,⿰扌⿱⿻𡗗丷手
06350F2/140.13,⿱艹䑓
07158F2/158.7,⿰身曵
04838F2/104.13,⿸疒雉
06342F2/140.12,⿱艹湅
04927F2/107.12,⿱丷⿸厂⿰咠皮
03179F1/72.6,⿰日⿱𠂉日
05761F2/120.14,⿰糸蜜
04551F2/96.5,⿰王巨
03801F1/78.8,⿰歹⿳𠂉中⿹𠃌一
05476F2/118.8,⿱竹門
06304F2/140.11,⿱荅𠕁
07366F2/163.3,⿰彡阝
07674F2/168.11,⿰镸票
07246F2/162.3,⿺辶卄
02492F1/61.4,⿰忄㔫
01327F1/30.16,⿰口頳
03971F1/85.8,⿰氵抳
01258F1/30.13,⿰口鄔
06053F2/132.6,⿱自⿰亻𧘇
07474F2/166.5,⿱里⿱口𠀁
07476F2/166.6,⿱里𠮲
06409F2/140.14,⿱艹豪
01363F1/30.18,⿰口𧫦
06708F2/145.9,⿱𢬇衣
03943F1/85.6,⿰氵宅
03889F1/82.13,⿰⿱羽角毛
03797F1/78.7,⿱死皿
07584F2/167.11,⿰金赦
00076F1/2.4,⿰丩刄
04881F2/106.5,⿰白左
06530F2/142.3,⿰虫弓
07188F2/159.7,⿰車更
06470F2/140.17,⿱艹縳
